timestamp,service,level,status_code,latency_ms,bytes,user_id,message
2026-03-01 00:00:05,db,INFO,200,32.8,1611.0,1226,query on table orders
2026-03-01 00:00:12,worker,INFO,200,418.2,728.0,1246,job 1246 processed
2026-03-01 00:00:18,api,INFO,200,95.2,2104.0,1119,GET /api/orders/1119 completed
2026-03-01 00:00:21,db,INFO,200,30.5,2144.0,1020,query on table orders
2026-03-01 00:00:24,api,WARN,200,92.3,3925.0,1049,GET /api/orders/1049 completed (slow response)
2026-03-01 00:00:31,cache,INFO,200,3.0,1760.0,1249,cache lookup for key k1249
2026-03-01 00:00:32,auth,INFO,200,49.6,3615.0,1245,login for user 1245
2026-03-01 00:00:39,api,INFO,200,125.1,3846.0,1004,GET /api/orders/1004 completed
2026-03-01 00:00:45,api,INFO,200,90.4,529.0,1231,GET /api/orders/1231 completed
2026-03-01 00:00:49,worker,INFO,200,322.0,937.0,1040,job 1040 processed
2026-03-01 00:00:53,auth,INFO,200,45.3,1740.0,1274,login for user 1274
2026-03-01 00:00:56,worker,INFO,200,241.3,1774.0,1262,job 1262 processed
2026-03-01 00:00:59,api,INFO,200,90.1,5654.0,1154,GET /api/orders/1154 completed
2026-03-01 00:01:03,auth,INFO,200,55.5,1428.0,1194,login for user 1194
2026-03-01 00:01:07,db,INFO,200,39.7,2068.0,1134,query on table orders
2026-03-01 00:01:12,api,INFO,200,170.7,783.0,1115,GET /api/orders/1115 completed
2026-03-01 00:01:20,db,INFO,200,46.2,817.0,1117,query on table orders
2026-03-01 00:01:26,worker,INFO,200,374.7,2178.0,1246,job 1246 processed
2026-03-01 00:01:31,api,ERROR,503,103.0,2727.0,1154,GET /api/orders/1154 completed failed: query timeout after 30000 ms
2026-03-01 00:01:39,api,INFO,200,108.3,4600.0,1238,GET /api/orders/1238 completed
2026-03-01 00:01:41,api,INFO,200,115.6,829.0,1261,GET /api/orders/1261 completed
2026-03-01 00:01:44,auth,INFO,200,39.3,1690.0,1069,login for user 1069
2026-03-01 00:01:49,api,INFO,200,144.6,1562.0,1060,GET /api/orders/1060 completed
2026-03-01 00:01:51,db,INFO,200,34.7,988.0,1159,query on table orders
2026-03-01 00:01:53,worker,INFO,200,366.5,2229.0,1081,job 1081 processed
2026-03-01 00:01:57,api,WARN,200,85.8,1830.0,1066,GET /api/orders/1066 completed (slow response)
2026-03-01 00:02:01,worker,INFO,200,621.7,2760.0,1049,job 1049 processed
2026-03-01 00:02:08,cache,INFO,200,7.0,2560.0,1266,cache lookup for key k1266
2026-03-01 00:02:14,db,INFO,200,23.8,1716.0,1069,query on table orders
2026-03-01 00:02:18,api,INFO,200,221.7,3039.0,1213,GET /api/orders/1213 completed
2026-03-01 00:02:23,cache,INFO,200,3.6,2146.0,1269,cache lookup for key k1269
2026-03-01 00:02:26,api,INFO,200,154.4,1577.0,1142,GET /api/orders/1142 completed
2026-03-01 00:02:27,api,INFO,200,65.7,1700.0,1184,GET /api/orders/1184 completed
2026-03-01 00:02:30,db,INFO,200,36.1,1032.0,1205,query on table orders
